Dataset;Algoritm;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score(weighted);F1-Score(None);Accuracy;Sensitivity;Specificity;ROC AUC score;Confusion matrix
pdfbox;DT;0;model7;SMOTE;0,7491503823279524;0,5976430324663761;0,7881853323961306;[0,8445439  0,35074217];0,7491503823279524;0,5936724565756824;0,7691815856777494;0,6814270211267157;"[9624; 2888; 655; 957]"
pdfbox;LogistRegression;0;model7;SMOTE;0,5992636646842254;0,4920884526978898;0,6721454518734535;[0,72540268 0,25877423];0,5992636646842254;0,6129032258064516;0,5975063938618926;0,605204809834172;"[7476; 5036; 624; 988]"
pdfbox;MLP;0;model7;SMOTE;0,6944208439535542;0,5781954578183583;0,7490690360316891;[0,79960999 0,35678092];0,6944208439535542;0,7425558312655087;0,6882193094629157;0,7153875703642122;"[8611; 3901; 415; 1197]"
pdfbox;RandomForest;0;model6;ADA;0,7616822429906541;0,5743470195256398;0,7922716658189862;[0,85672938 0,29196466];0,7616822429906542;0,4305210918114144;0,8043478260869565;0,6174344589491855;"[10064; 2448; 918; 694]"
pdfbox;DT;0;model6;ADA;0,6905975644293402;0,5234967908810625;0,7412632222149012;[0,80567414 0,24131944];0,6905975644293402;0,4311414392059553;0,7240249360613811;0,5775831876336682;"[9059; 3453; 917; 695]"
pdfbox;LogistRegression;0;model6;ADA;0,6661710563579722;0,5441691905302222;0,7261618465480785;[0,7799916  0,30834678];0,6661710563579722;0,651985111662531;0,6679987212276215;0,6599919164450763;"[8358; 4154; 561; 1051]"
pdfbox;MLP;0;model6;ADA;0,694845652789578;0,5694648341016579;0,7487682877487752;[0,80180263 0,33712704];0,694845652789578;0,6799007444168734;0,6967710997442456;0,6883359220805595;"[8718; 3794; 516; 1096]"
pdfbox;RandomForest;0;model7;ADA;0,8046587369017275;0,6649193448009492;0,8319141232132378;[0,88130781 0,44853088];0,8046587369017275;0,6960297766749379;0,8186540920716112;0,7573419343732746;"[10243; 2269; 490; 1122]"
pdfbox;DT;0;model7;ADA;0,746530727839139;0,6069906711046748;0,787716267398123;[0,84117125 0,37281009];0,7465307278391391;0,6600496277915633;0,7576726342710998;0,7088611310313315;"[9480; 3032; 548; 1064]"
pdfbox;LogistRegression;0;model7;ADA;0,7570801472670632;0,5695135981741055;0,7888073217730799;[0,85366998 0,28535722];0,7570801472670632;0,4249379652605459;0,7998721227621484;0,6124050440113472;"[10008; 2504; 927; 685]"
pdfbox;MLP;0;model7;ADA;0,69505805720759;0,5756168518179561;0,7493669036993132;[0,80075866 0,35047504];0,69505805720759;0,7208436724565757;0,6917359335038363;0,706289802980206;"[8655; 3857; 450; 1162]"
