Dataset;Algoritm;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score(weighted);F1-Score(None);Accuracy;Sensitivity;Specificity;ROC AUC score;Confusion matrix
pdfbox;RandomForest;3;model7;ADA;0,881764750782383;0,7753856050627383;0,8948261654132222;[0,92996338 0,62080783];0,881764750782383;0,8515782404298187;0,8856355494316225;0,8686068949307206;"[10284; 1328; 221; 1268]"
pdfbox;DT;3;model7;ADA;0,8700099229066484;0,7433232916393364;0,8826593160112398;[0,92364941 0,56299718];0,8700099229066484;0,7367360644728005;0,8870995521873923;0,8119178083300964;"[10301; 1311; 392; 1097]"
pdfbox;LogistRegression;3;model7;ADA;0,7985649950385467;0,643522521219194;0,8251770307647157;[0,87861644 0,4084286 ];0,7985649950385467;0,6118200134318335;0,8225111953151912;0,7171656043735123;"[9551; 2061; 578; 911]"
pdfbox;MLP;3;model7;ADA;0,8630638882528051;0,7521963385879971;0,8802703092894524;[0,91794731 0,58644537];0,8630638882528051;0,8542646071188718;0,8641922149500517;0,8592284110344617;"[10035; 1577; 217; 1272]"
pdfbox;RandomForest;4;model6;NONE;0,8776262151144559;0,6131791609762678;0,8619053178977457;[0,93301292 0,29334541];0,8776262151144559;0,22849083215796898;0,9588110777914977;0,5936509549747334;"[10871; 467; 1094; 324]"
pdfbox;DT;4;model6;NONE;0,8655534650360615;0,6636543854604867;0,8663093353127282;[0,92424577 0,403063  ];0,8655534650360615;0,4083215796897038;0,9227376962427236;0,6655296379662137;"[10462; 876; 839; 579]"
pdfbox;LogistRegression;4;model6;NONE;0,7111947318908749;0,5782394625257083;0,7623942059077877;[0,81504167 0,34143725];0,7111947318908749;0,6734837799717912;0,7159110954312929;0,6946974377015422;"[8117; 3221; 463; 955]"
pdfbox;MLP;4;model6;NONE;0,9209783631232361;0,7336131689820977;0,9073524404234973;[0,95702226 0,51020408];0,9209783631232361;0,3702397743300423;0,9898571176574352;0,6800484459937388;"[11223; 115; 893; 525]"
pdfbox;RandomForest;4;model7;NONE;0,9088272185638131;0,7776971962270631;0,9104735381256608;[0,94843258 0,60696181];0,9088272185638131;0,6332863187588152;0,9432880578585289;0,7882871883086721;"[10695; 643; 520; 898]"
pdfbox;DT;4;model7;NONE;0,8860928190655378;0,7370920140673072;0,8910114127533892;[0,93501498 0,53916905];0,8860928190655378;0,5994358251057827;0,9219439054506968;0,7606898652782398;"[10453; 885; 568; 850]"
